Price,Area,Bedrooms,Bathrooms,Location,Builder,Status
37.8 L,840 ,2 ,nan,Avadi,Golden Shri Vaaru,Ready to move
25 L,677 ,2 ,1 Bathrooms,Avadi,nan,Ready to move
40.95 L,910 ,2 ,nan,Avadi,Golden Shri Vaaru,Ready to move
37 L,840 ,2 ,2 Bathrooms,Avadi,nan,Under Construction
33.52 L,745 ,2 ,nan,Avadi,Golden Shri Vaaru,Ready to move
46.4 L,1105 ,2 ,2 Bathrooms,Avadi,nan,Under Construction
36.45 L,810 ,2 ,nan,Avadi,Golden Shri Vaaru,Ready to move
42.3 L,1055 ,2 ,2 Bathrooms,Avadi,nan,Ready to move
24.6 L,570 ,1 ,1 Bathrooms,Avadi,Pragnya Hazel,Ready to move
25.25 L,677 ,2 ,2 Bathrooms,Avadi,Mahindra Happinest,Ready to move
22.95 L,574 ,1 ,1 Bathrooms,Avadi,nan,Ready to move
24.75 L,677 ,2 ,2 Bathrooms,Avadi,Mahindra Happinest,Ready to move
37.33 L,830 ,2 ,2 Bathrooms,Avadi,nan,Under Construction
39.37 L,875 ,2 ,nan,Avadi,Golden Shri Vaaru,Ready to move
24.75 L,677 ,2 ,2 Bathrooms,Avadi,Mahindra Happinest,Ready to move
25.2 L,677 ,2 ,2 Bathrooms,Avadi,Mahindra Happinest,Ready to move
24.8 L,677 ,2 ,2 Bathrooms,Avadi,Mahindra Happinest,Ready to move
41.17 L,915 ,2 ,nan,Avadi,Golden Shri Vaaru,Ready to move
35.1 L,780 ,2 ,nan,Avadi,Golden Shri Vaaru,Ready to move
24.95 L,677 ,2 ,2 Bathrooms,Avadi,Mahindra Happinest,Ready to move
1 Cr,1650 ,3 ,3 Bathrooms,Sholinganallur,Ceebros Belvedere,Ready to move
58 L,1100 ,2 ,2 Bathrooms,Sholinganallur,nan,Ready to move
78 L,1137 ,2 ,2 Bathrooms,Sholinganallur,Harini Gokulam,Ready to move
68 L,1174 ,2 ,2 Bathrooms,Sholinganallur,BSCPL Bollineni Hillside Villas,Ready to move
3.5 Cr,4105 ,4 ,3 Bathrooms,Sholinganallur,Adroit Magnifiq,Ready to move
1.6 Cr,2130 ,3 ,3 Bathrooms,Sholinganallur,Casa Grand Amethyst,Ready to move
81.1 L,1334 ,2 ,1 Bathrooms,Sholinganallur,DRA D Elite,Under Construction
86.11 L,1740 ,3 ,nan,Sholinganallur,Casa Grand Royale,Ready to move
32.05 L,495 ,1 ,1 Bathrooms,Sholinganallur,Arun Excello Sharada,Under Construction
86 L,1437 ,3 ,3 Bathrooms,Sholinganallur,DRA D Elite,Under Construction
69.45 L,1076 ,3 ,nan,Sholinganallur,Lancor TCP Altura,Under Construction
1.15 Cr,1575 ,3 ,3 Bathrooms,Sholinganallur,nan,Ready to move
85.89 L,836 ,2 ,nan,Sholinganallur,Prestige Courtyards,Ready to move
1.05 Cr,1869 ,3 ,3 Bathrooms,Sholinganallur,Prestige Courtyards,Ready to move
90 L,1350 ,3 ,3 Bathrooms,Sholinganallur,Vaikund Govardhan,Ready to move
44.5 L,810 ,2 ,2 Bathrooms,Sholinganallur,nan,Under Construction
69.45 L,1076 ,3 ,nan,Sholinganallur,Lancor TCP Altura,Under Construction
3.6 Cr,4347 ,4 ,4 Bathrooms,Sholinganallur,Adroit Magnifiq,Ready to move
1.11 Cr,993 ,2 ,nan,Sholinganallur,Prestige Courtyards,Ready to move
