Price,Area,Bedrooms,Bathrooms,Location,Builder,Status 
1.38 Cr,2211 ,4 ,2 Bathrooms,Mogappair,Casa Grand Tudor,Under Construction
58 L,995 ,2 ,2 Bathrooms,Mogappair,Casa Grand Tudor,Under Construction
97 L,1412 ,3 ,nan,Mogappair,KG Impressions,Under Construction
89 L,677 ,2 ,2 Bathrooms,Mogappair,Brigade Xanadu,Under Construction
97 L,1412 ,3 ,nan,Mogappair,KG Impressions,Under Construction
92.97 L,1476 ,3 ,3 Bathrooms,Mogappair,Casa Grand Tudor,Under Construction
83 L,1062 ,2 ,2 Bathrooms,Mogappair,Brigade Xanadu,Under Construction
77.03 L,1219 ,3 ,3 Bathrooms,Mogappair,Casa Grand Athens,Under Construction
2.1 Cr,2995 ,5 ,5 Bathrooms,Mogappair,Nova Sprint,Ready to move
82 L,1222 ,3 ,nan,Mogappair,KG Impressions,Under Construction
1.38 Cr,2211 ,4 ,2 Bathrooms,Mogappair,Casa Grand Tudor,Under Construction
1.18 Cr,1340 ,3 ,nan,Mogappair,Brigade Xanadu Phase 2,Under Construction
1.41 Cr,1639 ,3 ,3 Bathrooms,Mogappair,Brigade Xanadu,Ready to move
1.64 Cr,1315 ,3 ,3 Bathrooms,Mogappair,nan,Ready to move
53 L,682 ,1 ,1 Bathrooms,Mogappair,Brigade Xanadu Cluster IV Destino,Under Construction
1.41 Cr,1639 ,3 ,2 Bathrooms,Mogappair,Brigade Xanadu,Under Construction
61.06 L,1001 ,2 ,nan,Mogappair,Nova Meridian,Ready to move
1.73 Cr,1878 ,3 ,3 Bathrooms,Mogappair,Brigade Xanadu,Under Construction
80.95 L,973 ,2 ,2 Bathrooms,Mogappair,Nova Meridian,Under Construction
87.47 L,1470 ,3 ,2 Bathrooms,Mogappair,Casa Grand Tudor,Under Construction
1.59 Cr,2470 ,4 ,4 Bathrooms,Mogappair,Casa Grand Millenia,Under Construction
97.11 L,872 ,2 ,nan,Mogappair,Brigade Xanadu,Ready to move
1.53 Cr,1878 ,3 ,nan,Mogappair,Brigade Xanadu Cluster III Celeste,Under Construction
84.97 L,1530 ,3 ,3 Bathrooms,Mogappair,Casa Grand Athens,Under Construction
62.86 L,990 ,2 ,2 Bathrooms,Mogappair,Casa Grand Tudor,Under Construction
1.99 Cr,1492 ,3 ,3 Bathrooms,Mogappair,nan,Ready to move
97.11 L,872 ,2 ,nan,Mogappair,Brigade Xanadu,Ready to move
82.78 L,1577 ,3 ,3 Bathrooms,Mogappair,Casa Grand Athens,Under Construction
65 L,1000 ,2 ,2 Bathrooms,Mogappair,Casa Grand Tudor,Ready to move
47.76 L,1050 ,2 ,2 Bathrooms,Mogappair,Casa Grand Athens,Under Construction
87 L,1033 ,2 ,2 Bathrooms,Mogappair,Nova Sprint,Ready to move
82.66 L,1530 ,3 ,3 Bathrooms,Mogappair,nan,Under Construction
96 L,1280 ,3 ,2 Bathrooms,Mogappair,Brigade Xanadu,Under Construction
85 L,1062 ,2 ,2 Bathrooms,Mogappair,Brigade Xanadu Cluster III Celeste,Under Construction
1.24 Cr,1639 ,3 ,3 Bathrooms,Mogappair,Brigade Xanadu Cluster III Celeste,Under Construction
71.12 L,1530 ,3 ,3 Bathrooms,Mogappair,Casa Grand Athens,Under Construction
90 L,1000 ,2 ,2 Bathrooms,Mogappair,nan,Ready to move
75.9 L,1100 ,2 ,2 Bathrooms,Mogappair,Nova Meridian,Under Construction
92 L,1147 ,3 ,3 Bathrooms,Mogappair,nan,Ready to move
1.05 Cr,1601 ,3 ,3 Bathrooms,Mogappair,Nova Meridian,Under Construction
1.75 Cr,1271 ,3 ,3 Bathrooms,Mogappair,Brigade Xanadu,Under Construction
91.56 L,1001 ,2 ,nan,Mogappair,Nova Meridian,Ready to move
63 L,992 ,2 ,nan,Mogappair,KG Impressions,Under Construction
1.37 Cr,1644 ,3 ,3 Bathrooms,Mogappair,Nova Meridian,Ready to move
1.3 Cr,1810 ,3 ,3 Bathrooms,Mogappair,BBCL Vajra,Ready to move
82 L,1222 ,3 ,nan,Mogappair,KG Impressions,Under Construction
91.86 L,1470 ,3 ,2 Bathrooms,Mogappair,Casa Grand Tudor,Under Construction
50.9 L,1119 ,2 ,nan,Mogappair,Casa Grand Athens,Under Construction
84.15 L,1850 ,3 ,nan,Mogappair,Casa Grand Athens,Under Construction
82 L,1222 ,3 ,nan,Mogappair,KG Impressions,Under Construction
1.48 Cr,1657 ,3 ,3 Bathrooms,Mogappair,Brigade Xanadu,Ready to move
1.03 Cr,1180 ,3 ,2 Bathrooms,Mogappair,nan,Under Construction
1.9 Cr,1878 ,3 ,3 Bathrooms,Mogappair,Brigade Xanadu,Under Construction
70 L,1400 ,3 ,2 Bathrooms,Mogappair,AVR Mitila,Ready to move
84.3 L,1033 ,2 ,2 Bathrooms,Mogappair,Nova Sprint,Ready to move
1.38 Cr,1994 ,3 ,3 Bathrooms,Mogappair,Casa Grand Millenia,Under Construction
50.64 L,1113 ,2 ,2 Bathrooms,Mogappair,Casa Grand Athens,Under Construction
2.02 Cr,2714 ,4 ,4 Bathrooms,Mogappair,Nova Sprint,Ready to move
1.12 Cr,1272 ,3 ,nan,Mogappair,Brigade Xanadu Phase 2,Under Construction
51.03 L,550 ,1 ,1 Bathrooms,Mogappair,Nova Meridian,Ready to move
1.04 Cr,1288 ,2 ,2 Bathrooms,Mogappair,Brigade Xanadu,Ready to move
1.56 Cr,1878 ,3 ,3 Bathrooms,Mogappair,Brigade Xanadu Cluster III Celeste,Under Construction
1 Cr,1646 ,3 ,nan,Mogappair,Nova Meridian,Ready to move
91.86 L,1470 ,3 ,2 Bathrooms,Mogappair,Casa Grand Tudor,Under Construction
91 L,797 ,2 ,nan,Mogappair,Brigade Xanadu,Ready to move
91.56 L,1001 ,2 ,nan,Mogappair,Nova Meridian,Ready to move
1.72 Cr,2470 ,4 ,4 Bathrooms,Mogappair,Casa Grand Millenia,Under Construction
97.11 L,872 ,2 ,nan,Mogappair,Brigade Xanadu,Ready to move
1.17 Cr,1288 ,3 ,2 Bathrooms,Mogappair,Brigade Xanadu Cluster III Celeste,Ready to move
75.17 L,1074 ,2 ,2 Bathrooms,Mogappair,Nova Meridian,Under Construction
70 L,1039 ,2 ,nan,Mogappair,KG Impressions,Under Construction
96.22 L,1052 ,2 ,nan,Mogappair,Nova Meridian,Ready to move
47.2 L,550 ,1 ,1 Bathrooms,Mogappair,Nova Meridian,Under Construction
95 L,1310 ,2 ,2 Bathrooms,Mogappair,BBCL Vajra,Ready to move
82.4 L,1228 ,3 ,nan,Mogappair,KG Impressions,Under Construction
87.5 L,1250 ,2 ,2 Bathrooms,Mogappair,nan,Ready to move
1.25 Cr,1445 ,3 ,2 Bathrooms,Mogappair,nan,Under Construction
1.5 Cr,1878 ,3 ,3 Bathrooms,Mogappair,Brigade Xanadu,Under Construction
1.33 Cr,1962 ,3 ,3 Bathrooms,Mogappair,Casa Grand Millenia,Under Construction
91 L,1062 ,2 ,2 Bathrooms,Mogappair,Brigade Xanadu Cluster IV Destino,Under Construction
1.49 Cr,1849 ,3 ,3 Bathrooms,Mogappair,Casa Grand Tudor,Under Construction
1.9 Cr,1878 ,3 ,3 Bathrooms,Mogappair,Brigade Xanadu,Under Construction
99.23 L,1101 ,3 ,nan,Mogappair,Brigade Xanadu Phase 2,Under Construction
1.65 Cr,1878 ,3 ,3 Bathrooms,Mogappair,Brigade Xanadu,Ready to move
1 Cr,1645 ,3 ,3 Bathrooms,Mogappair,Nova Meridian,Ready to move
97 L,1412 ,3 ,nan,Mogappair,KG Impressions,Under Construction
35 L,840 ,2 ,2 Bathrooms,Kelambakkam,Shantiniketan Altair,Ready to move
75 L,1337 ,2 ,2 Bathrooms,Kelambakkam,Sobha Meritta,Ready to move
31.5 L,540 ,1 ,1 Bathrooms,Kelambakkam,Sobha Meritta,Ready to move
30 L,1062 ,3 ,2 Bathrooms,Kelambakkam,Provident Cosmo City,Ready to move
70 L,1255 ,2 ,2 Bathrooms,Kelambakkam,Puravankara Swanlake,Ready to move
74.47 L,1505 ,3 ,3 Bathrooms,Kelambakkam,Incor Pbel City,Ready to move
60 L,1733 ,3 ,3 Bathrooms,Kelambakkam,nan,Ready to move
53.15 L,1266 ,3 ,2 Bathrooms,Kelambakkam,Akshaya Orlando A1 To A6,Ready to move
33.5 L,600 ,1 ,1 Bathrooms,Kelambakkam,nan,Ready to move
80 L,1518 ,3 ,2 Bathrooms,Kelambakkam,nan,Ready to move
74.47 L,1505 ,3 ,3 Bathrooms,Kelambakkam,Incor Pbel City,Ready to move
70.89 L,1425 ,2 ,2 Bathrooms,Kelambakkam,Incor Pbel City,Ready to move
1.1 Cr,1943 ,3 ,3 Bathrooms,Kelambakkam,Puravankara Swanlake,Ready to move
61 L,1249 ,3 ,3 Bathrooms,Kelambakkam,nan,Ready to move
38 L,983 ,2 ,2 Bathrooms,Kelambakkam,nan,Ready to move
50.46 L,1262 ,3 ,2 Bathrooms,Kelambakkam,nan,Ready to move
43 L,994 ,2 ,2 Bathrooms,Kelambakkam,Akshaya Orlando A1 To A6,Under Construction
32 L,747 ,2 ,1 Bathrooms,Kelambakkam,Alliance Jasmine Springs,Under Construction
19.52 L,462 ,1 ,nan,Kelambakkam,Alliance Jasmine Springs,Under Construction
60 L,1262 ,3 ,3 Bathrooms,Kelambakkam,Akshaya Orlando A1 To A6,Ready to move
47.94 L,1262 ,3 ,3 Bathrooms,Kelambakkam,Akshaya Orlando A1 To A6,Under Construction
37.76 L,994 ,2 ,1 Bathrooms,Kelambakkam,Akshaya Orlando A1 To A6,Ready to move
18 L,646 ,1 ,1 Bathrooms,Kelambakkam,nan,Under Construction
53.36 L,1061 ,2 ,2 Bathrooms,Kelambakkam,nan,Under Construction
74.47 L,1505 ,3 ,3 Bathrooms,Kelambakkam,Incor Pbel City,Ready to move
40 L,1070 ,3 ,3 Bathrooms,Kelambakkam,Provident Freedom,Ready to move
37.42 L,985 ,2 ,2 Bathrooms,Kelambakkam,Akshaya Orlando A1 To A6,Ready to move
44.72 L,994 ,2 ,2 Bathrooms,Kelambakkam,Akshaya Orlando A1 To A6,Ready to move
1.25 Cr,2000 ,3 ,3 Bathrooms,Kelambakkam,Sobha Meritta,Ready to move
39.24 L,1033 ,2 ,2 Bathrooms,Kelambakkam,nan,Under Construction
39.76 L,994 ,2 ,2 Bathrooms,Kelambakkam,Akshaya Orlando A1 To A6,Ready to move
1 Cr,1726 ,3 ,3 Bathrooms,Kelambakkam,nan,Ready to move
1.2 Cr,1726 ,3 ,3 Bathrooms,Kelambakkam,Sobha Meritta,Ready to move
73.7 L,1800 ,3 ,3 Bathrooms,Kelambakkam,Puravankara Swanlake,Ready to move
80 L,1719 ,3 ,3 Bathrooms,Kelambakkam,Puravankara Swanlake,Ready to move
29 L,525 ,1 ,1 Bathrooms,Kelambakkam,Propeagle Maruthi Nagar Kelambakkam,Under Construction
27.13 L,646 ,1 ,1 Bathrooms,Kelambakkam,nan,Ready to move
65 L,1262 ,3 ,3 Bathrooms,Kelambakkam,Akshaya Orlando A1 To A6,Ready to move
53.39 L,1033 ,3 ,3 Bathrooms,Kelambakkam,Incor Pbel City,Ready to move
61.58 L,1249 ,3 ,3 Bathrooms,Kelambakkam,nan,Ready to move
40.3 L,1061 ,2 ,2 Bathrooms,Kelambakkam,Akshaya Orlando A1 To A6,Ready to move
53 L,999 ,2 ,2 Bathrooms,Kelambakkam,nan,Ready to move
47.55 L,994 ,2 ,2 Bathrooms,Kelambakkam,Akshaya Orlando,Under Construction
53.79 L,1042 ,2 ,nan,Kelambakkam,Incor Pbel City,Ready to move
53.79 L,1042 ,2 ,nan,Kelambakkam,Incor Pbel City,Ready to move
39.83 L,996 ,2 ,2 Bathrooms,Kelambakkam,nan,Ready to move
75.05 L,1518 ,3 ,2 Bathrooms,Kelambakkam,Incor Pbel City,Ready to move
53.79 L,1042 ,2 ,nan,Kelambakkam,Incor Pbel City,Ready to move
47.94 L,1262 ,3 ,3 Bathrooms,Kelambakkam,Akshaya Orlando A1 To A6,Under Construction
41.73 L,994 ,2 ,2 Bathrooms,Kelambakkam,Akshaya Orlando A1 To A6,Ready to move
52.94 L,1262 ,3 ,3 Bathrooms,Kelambakkam,Akshaya Orlando A1 To A6,Ready to move
56.77 L,1262 ,3 ,3 Bathrooms,Kelambakkam,Akshaya Orlando A1 To A6,Ready to move
80 L,1737 ,3 ,3 Bathrooms,Kelambakkam,Puravankara Swanlake,Ready to move
20 L,462 ,1 ,nan,Kelambakkam,Alliance Jasmine Springs,Under Construction
1.6 Cr,1990 ,3 ,3 Bathrooms,Kelambakkam,Sobha Meritta,Ready to move
37 L,994 ,2 ,2 Bathrooms,Kelambakkam,Akshaya Orlando A1 To A6,Ready to move
53.7 L,1001 ,3 ,2 Bathrooms,Kelambakkam,Akshaya Orlando A1 To A6,Under Construction
57.93 L,1525 ,3 ,3 Bathrooms,Kelambakkam,nan,Ready to move
48 L,1038 ,3 ,2 Bathrooms,Kelambakkam, Celestia,Ready to move
45 L,985 ,2 ,2 Bathrooms,Kelambakkam,nan,Ready to move
53 L,1068 ,2 ,2 Bathrooms,Kelambakkam,nan,Ready to move
78 L,1730 ,3 ,3 Bathrooms,Kelambakkam,Puravankara Swanlake,Ready to move
44.49 L,994 ,2 ,2 Bathrooms,Kelambakkam,nan,Ready to move
63.9 L,1719 ,3 ,3 Bathrooms,Kelambakkam,Puravankara Swanlake,Ready to move
22.4 L,800 ,2 ,2 Bathrooms,Kelambakkam,nan,Under Construction
70.89 L,1425 ,2 ,2 Bathrooms,Kelambakkam,Incor Pbel City,Ready to move
39.91 L,998 ,2 ,2 Bathrooms,Kelambakkam,nan,Ready to move
44.72 L,994 ,2 ,2 Bathrooms,Kelambakkam,nan,Under Construction
65.04 L,1294 ,2 ,nan,Kelambakkam,Incor Pbel City,Ready to move
20 L,462 ,1 ,1 Bathrooms,Kelambakkam,Alliance Jasmine Springs,Under Construction
50.14 L,1241 ,3 ,nan,Kelambakkam,KPN Intown,Ready to move
60 L,1251 ,3 ,3 Bathrooms,Kelambakkam,nan,Ready to move
39.8 L,994 ,2 ,2 Bathrooms,Kelambakkam,nan,Under Construction
32.08 L,802 ,2 ,1 Bathrooms,Kelambakkam,Incor City Phase 1,Under Construction
56.77 L,1262 ,3 ,3 Bathrooms,Kelambakkam,Akshaya Orlando A1 To A6,Ready to move
35 L,1250 ,3 ,2 Bathrooms,Kelambakkam,Provident Provident Freedom,Ready to move
31 L,1062 ,2 ,2 Bathrooms,Kelambakkam,Provident Freedom,Ready to move
47.94 L,1262 ,3 ,2 Bathrooms,Kelambakkam,Akshaya Orlando A1 To A6,Ready to move
70.89 L,1425 ,2 ,2 Bathrooms,Kelambakkam,Incor Pbel City,Ready to move
70.89 L,1425 ,2 ,2 Bathrooms,Kelambakkam,Incor Pbel City,Ready to move
30 L,649 ,2 ,2 Bathrooms,Kelambakkam,Alliance Jasmine Springs,Under Construction
52.06 L,1370 ,2 ,2 Bathrooms,Kelambakkam,nan,Under Construction
47.56 L,994 ,2 ,2 Bathrooms,Kelambakkam,Akshaya Orlando A1 To A6,Ready to move
46 L,1262 ,3 ,2 Bathrooms,Kelambakkam,Akshaya Orlando A1 To A6,Under Construction
46.53 L,1241 ,3 ,nan,Kelambakkam,Oasis In Town,Ready to move
31.32 L,741 ,2 ,2 Bathrooms,Kelambakkam,Alliance Jasmine Springs,Under Construction
55 L,1200 ,3 ,3 Bathrooms,Kelambakkam,nan,Ready to move
48 L,986 ,2 ,2 Bathrooms,Kelambakkam,nan,Ready to move
31 L,1062 ,3 ,2 Bathrooms,Kelambakkam,Provident Freedom,Ready to move
44.72 L,994 ,2 ,2 Bathrooms,Kelambakkam,Akshaya Orlando A1 To A6,Ready to move
68 L,1719 ,2 ,3 Bathrooms,Kelambakkam,Puravankara Swanlake,Ready to move
57 L,1249 ,3 ,3 Bathrooms,Kelambakkam,nan,Ready to move
33 L,1062 ,3 ,3 Bathrooms,Kelambakkam,Provident Cosmo City,Ready to move
78 L,1730 ,3 ,3 Bathrooms,Kelambakkam,Puravankara Swanlake,Ready to move
50.14 L,1241 ,3 ,nan,Kelambakkam,KPN Intown,Ready to move
26 L,571 ,2 ,2 Bathrooms,Kelambakkam,Oasis In Town,Ready to move
37.76 L,994 ,2 ,2 Bathrooms,Kelambakkam,Akshaya Orlando,Ready to move
75.05 L,1518 ,3 ,2 Bathrooms,Kelambakkam,Incor Pbel City,Ready to move
31.32 L,741 ,2 ,nan,Kelambakkam,Alliance Jasmine Springs,Under Construction
71 L,1734 ,3 ,3 Bathrooms,Kelambakkam,Puravankara Swanlake,Ready to move
39.15 L,870 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
43 L,970 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
20.25 L,541 ,1 ,1 Bathrooms,Urapakkam,nan,Ready to move
48 L,818 ,2 ,2 Bathrooms,Urapakkam,KPN Silver Wood,Ready to move
35.13 L,872 ,2 ,2 Bathrooms,Urapakkam,nan,Under Construction
36.8 L,736 ,1 ,1 Bathrooms,Urapakkam,Akshaya Cove,Ready to move
43 L,1001 ,2 ,2 Bathrooms,Urapakkam,Featherlite Vaikuntam,Ready to move
48 L,1200 ,3 ,3 Bathrooms,Urapakkam,nan,Ready to move
38.63 L,840 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
39.14 L,870 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
39.14 L,870 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
40.5 L,900 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
38 L,832 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
14.2 L,853 ,2 ,2 Bathrooms,Urapakkam,SS Homes Urappakkam,Ready to move
82 L,1269 ,2 ,2 Bathrooms,Urapakkam,Akshaya Cove,Ready to move
26 L,814 ,2 ,2 Bathrooms,Urapakkam,K S M Builders KSM Golden Castle,Ready to move
23.4 L,840 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
24.76 L,809 ,2 ,2 Bathrooms,Urapakkam,Alameen Milano Orchard,Ready to move
17.99 L,850 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
42.04 L,1001 ,2 ,2 Bathrooms,Urapakkam,Featherlite Vaikuntam,Ready to move
46.6 L,932 ,2 ,2 Bathrooms,Urapakkam,nan,Under Construction
39 L,1060 ,2 ,2 Bathrooms,Urapakkam,Thiru A Sanjeevi Arjun Avenue,Ready to move
37.82 L,986 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
39.09 L,850 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
24.38 L,530 ,2 ,2 Bathrooms,Urapakkam,SS Homes Urappakkam,Ready to move
47.65 L,953 ,2 ,2 Bathrooms,Urapakkam,nan,Under Construction
26 L,811 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
35.2 L,690 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
20.25 L,541 ,1 ,1 Bathrooms,Urapakkam,nan,Ready to move
32.95 L,659 ,1 ,1 Bathrooms,Urapakkam,Akshaya Cove,Ready to move
82 L,1269 ,2 ,2 Bathrooms,Urapakkam,Akshaya Cove,Ready to move
25.88 L,803 ,2 ,2 Bathrooms,Urapakkam,Alameen Milano Orchard,Ready to move
46 L,818 ,2 ,2 Bathrooms,Urapakkam,KPN Silver Wood,Ready to move
38.17 L,830 ,2 ,2 Bathrooms,Urapakkam,Revathy Urapakkam,Ready to move
26.46 L,882 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
43.64 L,970 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
33 L,896 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
40 L,830 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
20.25 L,541 ,1 ,1 Bathrooms,Urapakkam,nan,Ready to move
41 L,730 ,1 ,1 Bathrooms,Urapakkam,Akshaya Cove,Ready to move
31.78 L,986 ,2 ,2 Bathrooms,Urapakkam,Alameen Milano Orchard,Ready to move
45 L,1000 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
33 L,871 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
27 L,600 ,1 ,1 Bathrooms,Urapakkam,nan,Ready to move
39.14 L,870 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
35 L,1210 ,3 ,3 Bathrooms,Urapakkam,nan,Ready to move
54.72 L,1440 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
40.12 L,840 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
20.35 L,552 ,1 ,2 Bathrooms,Urapakkam,nan,Ready to move
55.98 L,1440 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
27.4 L,803 ,2 ,2 Bathrooms,Urapakkam,Alameen Milano Orchard,Ready to move
56.16 L,1440 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
57.58 L,1440 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
29 L,637 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
42 L,1017 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
54.72 L,1440 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
47 L,818 ,2 ,1 Bathrooms,Urapakkam,KPN Silver Wood,Ready to move
39.27 L,935 ,2 ,2 Bathrooms,Urapakkam,Featherlite Vaikuntam,Ready to move
31.87 L,850 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
29.62 L,790 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
27 L,720 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
33.37 L,890 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
55.98 L,1400 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
18 L,538 ,1 ,1 Bathrooms,Urapakkam,nan,Ready to move
56 L,1440 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
55 L,1045 ,2 ,2 Bathrooms,Urapakkam,Kriticons Aristo,Ready to move
43.7 L,817 ,2 ,nan,Urapakkam,Shakthi Aishwaryam,Under Construction
56.5 L,1440 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
56.15 L,1450 ,2 ,2 Bathrooms,Urapakkam,Abinaya Matrix,Ready to move
55 L,1440 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
53.95 L,1185 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
34.75 L,900 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
42 L,1017 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
55.85 L,1440 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
33 L,944 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
36 L,820 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
31.17 L,909 ,2 ,2 Bathrooms,Urapakkam,KPN Silver Wood,Ready to move
42 L,932 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
50 L,1228 ,3 ,3 Bathrooms,Urapakkam,Vishwak Kumaran Nagar,Ready to move
35.5 L,614 ,2 ,2 Bathrooms,Urapakkam,Urban Superb,Ready to move
33.5 L,884 ,2 ,2 Bathrooms,Urapakkam,nan,Under Construction
36 L,827 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
24.76 L,809 ,2 ,2 Bathrooms,Urapakkam,Alameen Milano Orchard,Ready to move
17 L,509 ,1 ,1 Bathrooms,Urapakkam,nan,Ready to move
16 L,621 ,2 ,1 Bathrooms,Urapakkam,nan,Ready to move
16 L,625 ,2 ,1 Bathrooms,Urapakkam,nan,Ready to move
42.96 L,1023 ,2 ,nan,Urapakkam,Featherlite Vaikuntam,Ready to move
26.25 L,700 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
34.87 L,930 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
25.87 L,690 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
32.62 L,870 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
54.6 L,1400 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
57.52 L,1440 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
53.33 L,997 ,3 ,nan,Urapakkam,Shakthi Aishwaryam,Under Construction
56 L,1440 ,2 ,2 Bathrooms,Urapakkam,Abinaya Matrix,Ready to move
55 L,1440 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
55.8 L,1440 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
50 L,1228 ,3 ,3 Bathrooms,Urapakkam,Vishwak Kumaran Nagar,Ready to move
36 L,827 ,2 ,2 Bathrooms,Urapakkam,nan,Ready to move
90 L,1877 ,3 ,3 Bathrooms,Urapakkam,Kriticons Habiterra,Ready to move
62.56 L,1088 ,2 ,nan,Selaiyur,Grey Project Milano,Under Construction
60 L,971 ,3 ,2 Bathrooms,Selaiyur,nan,Ready to move
33 L,931 ,2 ,2 Bathrooms,Selaiyur,nan,Ready to move
50.32 L,915 ,2 ,2 Bathrooms,Selaiyur,nan,Ready to move
69.25 L,1125 ,3 ,3 Bathrooms,Selaiyur,nan,Under Construction
40 L,588 ,1 ,1 Bathrooms,Selaiyur,nan,Ready to move
90.82 L,1278 ,3 ,2 Bathrooms,Selaiyur,nan,Under Construction
50.56 L,1264 ,3 ,3 Bathrooms,Selaiyur,nan,Ready to move
29 L,525 ,1 ,1 Bathrooms,Selaiyur,nan,Ready to move
46.15 L,901 ,2 ,2 Bathrooms,Selaiyur,nan,Under Construction
1.05 Cr,1875 ,3 ,3 Bathrooms,Selaiyur,nan,Ready to move
46.68 L,886 ,2 ,2 Bathrooms,Selaiyur,nan,Under Construction
71.65 L,1031 ,2 ,2 Bathrooms,Selaiyur,nan,Under Construction
39 L,937 ,2 ,2 Bathrooms,Selaiyur,nan,Under Construction
92 L,1200 ,2 ,2 Bathrooms,Selaiyur,nan,Under Construction
29.99 L,930 ,2 ,2 Bathrooms,Selaiyur, Ajuba Nakshatra,Ready to move
1.14 Cr,1346 ,3 ,3 Bathrooms,Selaiyur,nan,Under Construction
85 L,1450 ,3 ,3 Bathrooms,Selaiyur,nan,Ready to move
32 L,783 ,2 ,2 Bathrooms,Selaiyur,Varsha Selaiyur,Ready to move
1.14 Cr,1346 ,3 ,3 Bathrooms,Selaiyur,nan,Ready to move
25 L,584 ,1 ,2 Bathrooms,Selaiyur,nan,Ready to move
60.36 L,1006 ,2 ,2 Bathrooms,Selaiyur,nan,Ready to move
77.61 L,1386 ,3 ,3 Bathrooms,Selaiyur,nan,Ready to move
60.36 L,1006 ,2 ,2 Bathrooms,Selaiyur,nan,Ready to move
58.99 L,1026 ,2 ,nan,Selaiyur,Grey Project Milano,Under Construction
90 L,1071 ,2 ,2 Bathrooms,Selaiyur,nan,Under Construction
59.94 L,1110 ,3 ,3 Bathrooms,Selaiyur,nan,Ready to move
55 L,1009 ,2 ,2 Bathrooms,Selaiyur,nan,Ready to move
48.77 L,929 ,2 ,2 Bathrooms,Selaiyur,nan,Under Construction
59 L,865 ,2 ,2 Bathrooms,Selaiyur,nan,Under Construction
52.78 L,1173 ,3 ,3 Bathrooms,Selaiyur,nan,Ready to move
46.65 L,864 ,2 ,2 Bathrooms,Selaiyur,nan,Ready to move
71.65 L,1031 ,2 ,2 Bathrooms,Selaiyur,nan,Under Construction
55 L,1286 ,3 ,2 Bathrooms,Selaiyur,nan,Under Construction
1.14 Cr,1346 ,3 ,3 Bathrooms,Selaiyur,nan,Under Construction
1.14 Cr,1346 ,3 ,3 Bathrooms,Selaiyur,nan,Ready to move
30 L,783 ,2 ,2 Bathrooms,Selaiyur,Varsha Selaiyur,Ready to move
